id,jobs,firms,salary,nums0
85,图像/视频高级算法工程师(职位编号：novatek000586),联咏电子科技（西安）有限公司,1-3万/月,若干
86,运维实施工程师,西安点通软件信息技术有限公司,4-6千/月,1
87,软件研发工程师（应届生专区）,紫光陕数大数据有限公司,1-1.5万/月,5
88,数字IC后端设计工程师,广州众诺电子技术有限公司,1-2万/月,2
89,运维工程师,广州亿程交通信息集团有限公司,4-6千/月,2
90,教师（计算机方向）,西安欧亚学院,6-8千/月,1
91,高级数据库运维人员,三门峡崤云信息服务股份有限公司,0.8-1.5万/月,1
92,大数据开发工程师,三盟科技股份有限公司,1.5-2万/月,若干
93,数据开发工程师,西安亚购信息科技有限公司,1-2万/月,若干
94,招聘经理,苏州浩辰软件股份有限公司西安分公司,0.6-1.2万/月,1
95,Java开发工程师,西安数之元网络科技有限公司,0.6-1.5万/月,1
96,全栈工程师,三门峡崤云安全服务有限公司,6-8千/月,1
97,软件工程师（校园招聘）(职位编号：004),陕西亚成微电子股份有限公司,0.8-1万/月,5
98,深度学习工程师,中国科学院自动化研究所（洛阳）机器人与智能装备创新研究院,0.7-1.5万/月,2
99,大数据研发工程师,北京明朝万达科技股份有限公司,0.8-1.6万/月,2
100,Sr. Security Engineer / 高级网络安全工程师,西安活跃网络有限公司,2.5-3万/月,若干
101,软件工程师,西安奥卡云数据科技有限公司,1-1.5万/月,20
102,Java开发工程师,厦门唐普信息技术有限公司,0.6-2.5万/月,10
103,遥感算法设计师,航天星图科技（北京）有限公司,0.5-1万/月,若干
104,后台开发工程师,爱讯达科技（深圳）有限公司,0.6-1.2万/月,若干
105,IT运维工程师（双休 五险一金）,西安创新中小企业应收账款管理有限公司,0.8-1万/月,2
106,高级图形/CAD开发工程师,西安海平方网络科技有限公司,1.5-2.5万/月,若干
107,软件测试工程师（超声）,深圳市理邦精密仪器股份有限公司,7.5-9千/月,1
108,大数据JAVA开发工程师,通联商务服务有限公司,1-1.5万/月,若干
109,深度学习算法工程师,博微太赫兹信息科技有限公司,1-2万/月,2
110,java/.net/web/大数据软件工程师,陕西省商务技术学校,15-20万/年,5
111,高级数据库工程师,西安国际医学中心有限公司,0.8-1.2万/月,1
112,自动化运维工程师(J10092),西安诺瓦电子科技有限公司,6-9千/月,1
113,Linux C/C++ 高级软件工程师,格尔软件股份有限公司,1-1.5万/月,3
114,服务器运维工程师,陕西省君凯电子科技有限公司,0.5-1万/月,2
115,高级嵌入式软件开发工程师,西安翔迅科技有限责任公司,1-1.5万/月,1
116,PHP开发工程师,北京鲸鹳科技有限公司陕西分公司,0.8-1.5万/月,2
117,大数据开发工程师,北京德天博诚科技有限公司,1-2万/月,2
118,大数据开发工程师,西安恪诚电子科技有限公司,1-1.5万/月,5
119,大数据开发工程师,陕西万盛达信息科技有限公司,0.8-1.5万/月,1
120,自然语言处理工程师,上海阅维信息科技有限公司,1-2万/月,2
121,高级生物信息工程师（西安）,上海源兹生物科技有限公司,5-9千/月,若干
122,软件技术总监,北京中科戎大科技股份有限公司,1.5-2.5万/月,1
123,机器视觉工程师,陕西锦图企业管理咨询有限责任公司,20-30万/年,1
124,软件测试工程师（中级）,西安图迹信息科技有限公司,6-8千/月,2
125,C++编程讲师,上海傲梦网络科技有限公司,400元/天,20
126,视觉算法工程师,西安华创人力资源管理咨询有限公司,1-2万/月,若干
127,PHP开发工程师,陕西无线星空教育科技有限公司,3-5千/月,1
128,Firmware Engineer,苏州联讯仪器有限公司,0.6-1万/月,2
129,大数据开发工程师,陕西新华出版传媒集团数字出版基地发展有限公司,0.6-1.2万/月,2
130,Web后端工程师,深圳市中易腾达科技股份有限公司,0.8-1万/月,1
131,高级测试工程师,北京军地联合信息技术研究发展中心（有限合伙）,6-8千/月,1
132,容器云平台开发工程师,大唐移动通信设备有限公司西安分公司,0.8-1.3万/月,5
133,Software Engineer(Machine Learning),西安三星电子研究有限公司,1-2万/月,5
134,.NET开发工程师,陕西晶胜广告文化传播有限公司,3-8千/月,2
135,Web前端开发工程师高级,西安亿阳信通软件科技发展有限公司,1.2-1.6万/月,2
136,前端与移动开发   讲师(J11079),传智播客教育集团西安分校,1.5-1.7万/月,1
137,Java开发工程师,西安缤纷鸟少儿美术培训中心,0.5-1万/月,2
138,全栈开发工程师,西安思科特软件有限公司,1-1.5万/月,1
139,高级PHP软件开发工程师,西安三态电子商务有限公司,1.2-1.5万/月,1
140,数据分析师（十三薪+双休）,北京中海华晟信息技术有限公司西安分公司,0.8-1万/月,若干
141,高级Java工程师-西安,北京小鱼易连科技有限公司,1-2万/月,1
142,网络安全远程交付工程师,南京华苏科技有限公司,0.7-1.5万/月,若干
143,数据建模师,西安盈通思科软件科技有限公司,1.5-2万/月,2
144,大数据开发工程师,上海米赋网络科技有限公司,0.6-1.2万/月,1
145,(ID67814)知名汽车公司急聘数据挖掘工程师(职位编号：67814),上海任仕达人才服务有限公司,0.8-1.1万/月,1
146,数据库工程师,南京烽火星空通信发展有限公司,1-2万/月,2
147,数据分析师,广州佰聆数据股份有限公司,1-2万/月,1
148,数据开发工程师（SME）,陕西西部资信股份有限公司,1-1.5万/月,1
149,DevOps Engineer,印孚瑟斯技术（中国）有限公司,1-1.5万/月,若干
150,技术支持工程师（19届校招）,西安新路网络科技有限公司,5-8千/月,2
151,Java开发工程师,酷渲（北京）科技有限公司,0.8-1.5万/月,2
152,中高级Java开发工程师（西安）dqz(职位编号：dq2),北京思路创新科技有限公司,0.8-1.5万/月,2
153,运维工程师,陕西导航科技有限公司,4-8千/月,1
154,运维工程师,北京空间畅想信息技术有限责任公司,0.8-1万/月,3
155,人工智能机器学习工程师,西安橡树软件有限公司,0.8-1万/月,2
156,首席软件质量工程师,次元境界科技（北京）有限公司,30-40万/年,1
157,大数据开发工程师,青海宝讯溯源网络科技有限公司西安分公司,6-8千/月,1
158,Java开发工程师,深圳市讯方技术股份有限公司,0.7-1.5万/月,5
159,开放平台-HTML5开发（中高级）,赞同科技股份有限公司,1-2万/月,若干
160,图像算法工程师,西安大医集团有限公司,0.8-1.5万/月,5
161,（某500强知名企业）立体视觉算法工程师,西安瀚特人力资源有限公司,2-2.5万/月,若干
162,大数据平台运维工程师（Hadoop方向）,上海罗盘信息科技有限公司,1-1.5万/月,2
163,自动化测试工程师,KaiOS凯系通讯科技,0.8-1.2万/月,1
164,自动化测试工程师,和利时集团--西安和利时,1-1.3万/月,若干
165,Docker工程师,西安中服软件有限公司,1-1.5万/月,1
166,全栈工程师,北京时代一峰信息技术有限公司,0.8-1.5万/月,3
167,嵌入式中级开发工程师,深圳市德卡科技股份有限公司,6-8千/月,若干
168,高级测试工程师,陕西恒东网络科技有限责任公司,4-8千/月,5
169,手机自动化测试工程师,宁波普天通信技术有限公司,4-7千/月,2
170,测试工程师,北京天源迪科信息技术有限公司,0.6-1万/月,10
171,网络开发工程师,瑞斯康达科技发展股份有限公司,6-8千/月,1
172,自动化测试工程师,西安恒谦教育科技股份有限公司,4.5-6千/月,1
173,openstack开发运维工程师,西安盈谷网络科技有限公司,0.6-1.2万/月,1
174,软件测试工程师,浙江大华技术股份有限公司,10-20万/年,若干
175,测试工程师,陕西北斗金控信息服务有限公司,0.6-1万/月,1
176,运维开发工程师,居安之家,0.8-1万/月,1
