"id";"jobs";"firms";"salary";"nums"
783;"精密测量算法工程师";"西安知象光电科技有限公司";"1-1.5万/月";"28"
784;"中高级Java开发工程师（西安）dqz";"北京思路创新科技有限公司";"0.8-1.5万/月";"161"
785;"自动化测试工程师";"和利时集团--西安和利时";"1-1.3万/月";"154"
786;"产品技术研发总监";"上海汉得信息技术股份有限公司";"1.6-2.1万/月";"50"
787;"PHP高级开发工程师";"陕西远洋科技实业有限责任公司";"0.8-1万/月";"16"
788;"新东方X创造力学院代码编程老师";"西安新东方学校";"5-8千/月";"30"
789;"全栈工程师";"北京时代一峰信息技术有限公司";"0.8-1.5万/月";"26"
790;"高级测试工程师-西安-14007";"优信集团";"11-20万/年";"116"
791;"技术构架师   兼项目经理";"旅拍通科技有限公司";"0.8-1万/月";"15"
792;"爬虫开发工程师";"陕西运璟网络科技有限公司";"1-1.5万/月";"54"
793;"软件工程师";"西安铂力特增材技术股份有限公司";"1-1.5万/月";"28"
794;"大数据开发工程师";"山西科泰航天防务技术股份有限公司";"1-1.5万/月";"37"
795;"Docker工程师";"西安中服软件有限公司";"1-1.5万/月";"20"
796;"大数据分析实习生";"上海阅维信息科技有限公司";"3-4.5千/月";"78"
797;"高级Java工程师-西安";"北京小鱼易连科技有限公司";"1-2万/月";"96"
798;"流体咨询专家--西安";"安世亚太科技股份有限公司";"0.8-1.5万/月";"30"
799;"大数据架构师";"北京思特奇信息技术股份有限公司";"2-2.5万/月";"35"
800;"云方向业务部门_大数据高级工程师";"北京思特奇信息技术股份有限公司陕西分公司";"1-1.5万/月";"16"
801;"DevOps Engineer";"印孚瑟斯技术（中国）有限公司";"1-1.5万/月";"10"
802;"手机自动化测试工程师";"宁波普天通信技术有限公司";"4-7千/月";"45"
803;"PHP开发工程师";"北京鲸鹳科技有限公司陕西分公司";"0.8-1.5万/月";"45"
804;"Linux运维开发工程师";"大连华信计算机技术股份有限公司";"0.8-1.6万/月";"34"
805;"高级web全栈工程师";"西安奥卡云数据科技有限公司";"2.5-3万/月";"33"
806;"C++/C#中级开发工程师";"北京兰光创新科技有限公司";"1-1.5万/月";"50"
807;"DBA(001894)";"东方网力科技股份有限公司";"1-1.5万/月";"31"
808;"Web前端开发工程师";"西安可视可觉网络科技有限公司";"0.8-1万/月";"97"
809;"软件工程师";"西安伟伦实业发展有限公司";"0.8-1.2万/月";"22"
810;"大数据算法工程师";"西安思坦仪器股份有限公司";"0.8-1.5万/月";"29"
811;"Sr. QA 高级测试工程师  （工作地点：上海）";"花旗金融信息服务（中国）有限公司Citigroup Services and Technology (China) Limited.";" ";"18"
812;"高级C++/软件开发工程师";"陕西恒通智能机器有限公司";"1-2万/月";"45"
813;"Developer Associate";"思爱普（中国）有限公司";"1.5千以下/月";"11"
814;"嵌入式开发高级工程师";"西安思菲特信息科技有限公司";"0.8-1.2万/月";"31"
815;"软件测试工程师";"西安三星电子研究有限公司";"0.8-1.5万/月";"427"
816;"高级运维工程师";"西安缤纷鸟少儿美术培训中心";"0.5-1万/月";"28"
817;"视频/图像算法工程师（天益太赫兹）";"西安天和防务技术股份有限公司";"1-1.5万/月";"64"
818;"算法工程师";"杭州英歌智达科技有限公司";"1-2.5万/月";"21"
819;"人工智能工程师";"北京中电普华信息技术有限公司";"1-1.5万/月";"29"
820;"大数据开发工程师";"青海宝讯溯源网络科技有限公司西安分公司";"6-8千/月";"34"
821;"软件测试工程师";"甘肃上航电力运维有限公司";"6-8千/月";"431"
822;"高级测试工程师";"陕西恒东网络科技有限责任公司";"4-8千/月";"75"
823;"大数据开发工程师";"万达信息股份有限公司";"1.5-2万/月";"41"
824;"前端与移动开发   讲师(J11079)";"传智播客教育集团西安分校";"1.5-1.7万/月";"46"
825;"大数据运维工程师";"珠海网博信息科技股份有限公司";"1.5-2万/月";"43"
826;"AI高级工程师";"蜀海（北京）供应链管理有限责任公司";"1-2万/月";"27"
827;"大数据JAVA开发工程师";"通联商务服务有限公司";"1-1.5万/月";"135"
828;"Web后端工程师";"深圳市中易腾达科技股份有限公司";"0.8-1万/月";"57"
829;"Linux运维开发工程师";"西安华信智慧数字科技有限公司";"0.8-1.6万/月";"54"
830;"测试工程师";"中科金审（北京）科技有限公司";"0.8-1.3万/月";"206"
831;"Sr. C++  (Navigation, Map)";"西安泰为软件有限公司";"1-1.5万/月";"29"
832;"资深BI工程师";"上海哥瑞利软件有限公司";"0.8-1.5万/月";"22"
833;"后端研发工程师";"西安速度时空大数据科技有限公司";"1-1.5万/月";"45"
834;"数据建模师";"西安盈通思科软件科技有限公司";"1.5-2万/月";"39"
835;"软件测试工程师";"西安易流物联科技有限公司";"0.5-1万/月";"376"
836;"机器视觉工程师";"陕西锦图企业管理咨询有限责任公司";"20-30万/年";"31"
837;"Sr. Security Engineer / 高级网络安全工程师";"西安活跃网络有限公司";"2.5-3万/月";"23"
838;"全栈开发工程师";"西安思科特软件有限公司";"1-1.5万/月";"21"
839;"算法工程师";"上海艾飞能源科技有限公司";"0.6-1.2万/月";"36"
840;"C++高级开发工程师";"中兴网鲲信息科技（上海）有限公司";"0.8-1.5万/月";"44"
841;"人工智能工程师";"天图软件科技有限公司";"1-2万/月";"31"
842;"高级软件工程师";"西安鼎力信息技术有限责任公司";"0.7-1万/月";"13"
843;"C/C++高级开发工程师";"北京北信源软件股份有限公司";"0.8-1万/月";"25"
844;"PHP开发工程师";"陕西无线星空教育科技有限公司";"3-5千/月";"39"
845;"ROS教育研发专员";"西安乐博士机器人有限公司";"4-6千/月";"25"
846;"生产测试开发工程师（西安）";"华勤通讯技术有限公司";"0.8-1.2万/月";"190"
847;"自动化测试工程师";"西安恒谦教育科技股份有限公司";"4.5-6千/月";"46"
848;"数据工程师";"华扬联众数字技术股份有限公司";"1-2万/月";"45"
849;"数据分析工程师";"陕西君瀚信息技术有限公司";"6-8千/月";"64"
850;"少儿编程老师";"西安童程童创教育科技有限公司";"0.6-1万/月";"25"
851;"网络产品测试工程师";"郑州信大捷安信息技术股份有限公司";"6-8千/月";"53"
852;"云业务架构师";"西安诺嘉信息科技有限公司";"2.5-3万/月";"36"
853;"大数据工程师";"南京嘉环科技有限公司";"0.8-2万/月";"23"
854;"Senior software Engineer/高级软件工程师_DC";"博世力士乐（西安）电子传动与控制有限公司";" ";"36"
855;"高级测试工程师";"西安北科维拓科技有限公司";"0.8-1万/月";"166"
856;"嵌入式软件工程师";"新港海岸（北京）科技有限公司";"0.8-2万/月";"83"
857;"Linux C/C++ 高级软件工程师";"格尔软件股份有限公司";"1-1.5万/月";"75"
858;"大数据开发工程师";"陕西新华出版传媒集团数字出版基地发展有限公司";"0.6-1.2万/月";"43"
859;"大数据算法工程师(战略业务)";"北京超图软件股份有限公司";"1-1.5万/月";"26"
860;"软件测试";"西安三好软件技术股份有限公司";"3-5千/月";"243"
861;"测试工程师（软件/硬件）";"西安栎安科技有限公司";"0.5-1万/月";"127"
862;"前端开发工程师";"陕西淘丁实业集团有限公司";"0.8-1万/月";"9"
863;"500强-华为-大数据工程师";"北京外企德科人力资源服务上海有限公司";"1.5-2.5万/月";"18"
864;"产品发布工程师";"泰为信息科技（上海）有限公司";"1.5-2万/月";"13"
865;"软件配置管理(SCM)工程师";"北京讯通安添通讯科技有限公司西安分公司";"1-1.5万/月";"15"
866;"软件工程师";"西安悦锦电子信息科技有限公司";"8-10万/年";"73"
867;"Cloud NFVi Solution Architect  246455";"Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司";" ";"22"
868;"Digital Technology Intern";"GE航空集团";" ";"27"
869;"大数据运维工程师";"新华三技术有限公司";"1-2万/月";"49"
870;"阿里云事业群-云业务架构师-西安区域";"阿里巴巴集团";" ";"49"
871;"软件测试工程师";"浙江大华技术股份有限公司";"10-20万/年";"358"
872;"PostgreSQL DBA（五险一金+双休）";"深圳市坐标软件开发有限公司";"1-1.5万/月";"32"
873;"数据库工程师";"南京烽火星空通信发展有限公司";"1-2万/月";"80"
874;"大数据产品经理";"东华软件股份公司";" ";"16"
875;"数字IC后端设计工程师";"广州众诺电子技术有限公司";"1-2万/月";"16"
876;"高级自动化测试开发工程师（西安）";"深圳市有方科技股份有限公司";"1.5-2.5万/月";"153"
877;"java/.net/web/大数据软件工程师";"陕西省商务技术学校";"15-20万/年";"182"
878;"高级生物信息工程师（西安）";"上海源兹生物科技有限公司";"5-9千/月";"41"
879;"数据开发工程师";"西安亚购信息科技有限公司";"1-2万/月";"43"
880;"软件测试工程师（APP测试）";"陕西家护帮网络科技有限公司";"6-9千/月";"217"
881;"算法工程师（深度学习）（西安）";"聚龙股份有限公司";"1.5-2万/月";"56"
882;"运维工程师";"北京空间畅想信息技术有限责任公司";"0.8-1万/月";"85"
883;"高级软件工程师";"江苏锐天信息科技有限公司西安分公司";"1.2-1.6万/月";"25"
884;"数据开发工程师";"武汉金淳久久商贸有限公司";"3-4.5千/月";"20"
885;"（某500强知名企业）大数据开发工程师";"西安瀚特人力资源有限公司";"1.5-2万/月";"24"
886;"测试实习生（西安）(J10062)";"绿盟科技";"2-3千/月";"43"
887;"网络运维工程师";"信永中和会计师事务所";" ";"108"
888;"Java高级开发工程师";"北京中软国际信息技术有限公司";"1-1.5万/月";"115"
889;"并行计算研发工程师";"英特工程仿真技术（大连）有限公司";"0.8-1.5万/月";"26"
890;"高级测试工程师";"裕日软件有限公司";"0.6-1.2万/月";"61"
891;"(ID67814)知名汽车公司急聘数据挖掘工程师";"上海任仕达人才服务有限公司";"0.8-1.1万/月";"23"
892;"软件测试工程师";"深圳普创天信科技发展有限公司";"0.5-1万/月";"424"
893;"数据分析师（十三薪+双休）";"北京中海华晟信息技术有限公司西安分公司";"0.8-1万/月";"64"
894;"测试经理";"美格智能西安研究所";"0.8-1万/月";"83"
895;"外卖数据分析员";"陕西泰合信息科技有限公司";"3-4.5千/月";"21"
896;"Linux研发工程师";"上海凯翔信息科技有限公司";"1-1.5万/月";"40"
897;"数据分析师";"广州佰聆数据股份有限公司";"1-2万/月";"62"
898;"TPCE Test Engineer(ATE/BURN)";"美光半导体（西安）有限责任公司";" ";"22"
899;"自动化测试工程师";"西安翼展电子科技有限公司";"0.6-1.2万/月";"69"
900;"软件研发工程师（应届）";"紫光陕数大数据有限公司";"1-1.5万/月";"66"
901;"大数据开发工程师";"陕西海默油田服务有限公司";"6-8千/月";"32"
902;"人工智能机器学习工程师";"西安橡树软件有限公司";"0.8-1万/月";"51"
903;"中高级前端开发工程师";"翔傲信息科技（上海）有限公司";"0.8-1.2万/月";"38"
904;"RD-机器学习工程师（可接收实习生）";"TCL集团工业研究院";"0.8-1.5万/月";"64"
905;"运维工程师";"广州亿程交通信息集团有限公司";"4-6千/月";"82"
906;"高级PHP软件开发工程师";"西安三态电子商务有限公司";"1.2-1.5万/月";"15"
907;"图像算法工程师";"西安大医集团有限公司";"0.8-1.5万/月";"52"
908;"三维重建算法工程师-XA";"深圳奥比中光科技有限公司";"1.5-3万/月";"15"
909;"Java开发+双休+五险一金+应届生";"西安达文信息技术有限公司";"4-6千/月";"180"
910;"大数据仓库架构师（西安）";"杭州数云信息技术有限公司";"1.8-3万/月";"21"
911;"日志安全分析师";"三门峡崤云信息服务股份有限公司";"0.5-1万/月";"8"
912;".NET开发工程师";"陕西晶胜广告文化传播有限公司";"3-8千/月";"20"
913;"Java高级开发工程师";"西安三茗科技股份有限公司";"1.2-1.8万/月";"139"
914;"Python高级开发工程师";"小马股份有限公司西安分公司";"0.5-2.5万/月";"49"
915;"Python开发助理/实习生   双休";"西安卓睿信息技术有限公司";"4.5-6千/月";"201"
916;"Python开发实习生";"陕西养正文化发展有限公司";"4.5-6千/月";"138"
917;"Python开发助理+双休";"陕西金晟网络科技有限公司";"4.5-6千/月";"122"
918;"Python开发工程师";"西安智园软件开发管理有限公司";"1-1.5万/月";"59"
919;"测试工程师";"北京先进数通信息技术股份公司";"5-9千/月";"184"
920;"大数据开发工程师";"西安恪诚电子科技有限公司";"1-1.5万/月";"37"
921;"JavaWeb工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"37"
922;"大数据挖掘工程师(高薪+五险一金+双休)";"西安政通信息技术有限公司";"1.5-2万/月";"49"
923;"linux C++高级开发工程师";"广州优孚欧智能科技有限公司";"0.6-1.2万/月";"33"
924;"高级嵌入式软件开发工程师";"西安翔迅科技有限责任公司";"1-1.5万/月";"42"
925;"系统架构设计师";"北京中航讯科技股份有限公司";"2.5-3万/月";"47"
926;"IC验证工程师";"顺卓微电子（西安）有限公司";"1-1.5万/月";"30"
927;"在线编程老师";"上海傲梦网络科技有限公司";"6-8千/月";"9"
928;"大数据平台运维工程师（Hadoop方向）";"上海罗盘信息科技有限公司";"1-1.5万/月";"56"
929;"大数据研发工程师";"北京明朝万达科技股份有限公司";"0.8-1.6万/月";"23"
930;"SLAM算法工程师";"广东星舆科技有限公司";"1.5-3万/月";"29"
931;"VR 相关算法工程师 高级软件工程师";"西安灵境科技有限公司";"8-20万/年";"37"
932;"RD-算法移植优化工程师";"TCL集团工业研究院";"0.8-1万/月";"28"
933;"首席软件质量工程师";"次元境界科技（北京）有限公司";"30-40万/年";"50"
934;"生物信息工程师";"西安中科茵康莱医学检验有限公司";"5-8.5千/月";"56"
935;"软件测试工程师";"酷渲（北京）科技有限公司";"0.8-1.5万/月";"462"
936;"web高级开发工程师";"陕西九鼎通信技术有限公司";"1-1.6万/月";"17"
937;"软件测试工程师";"西安大医集团有限公司";"0.8-1.5万/月";"339"
938;"服务器运维工程师";"陕西省君凯电子科技有限公司";"0.5-1万/月";"32"
939;"Linux软件工程师";"西安三茗科技股份有限公司";"0.8-1万/月";"39"
940;"Java开发工程师";"奇虎360科技有限公司";" ";"236"
941;"数据分析师";"河南正华电讯有限公司西安分公司";"3.5-6千/月";"23"
942;"自动化测试工程师";"KaiOS凯系通讯科技";"0.8-1.2万/月";"126"
943;"测试工程师";"西安魔盾电气工程自动化研究所有限公司";"4-6.5千/月";"197"
944;"大数据开发工程师";"陕西万盛达信息科技有限公司";"0.8-1.5万/月";"73"
945;"高级PHP开发工程师";"西安旭辉计算机软件开发有限责任公司";"0.8-1万/月";"39"
946;"销售分析支持经理";"中外运-敦豪(DHL-Sinotrans)";"1-1.5万/月";"56"
947;"IT培训讲师（Python）";"北京中公教育科技股份有限公司";"1-1.5万/月";"33"
948;"资深软件开发工程师(Python)";"上海剑桥科技股份有限公司";"1.5-2.8万/月";"44"
949;"Python开发工程师";"陕西星邑空间技术有限公司";"1-1.5万/月";"107"
950;"大数据开发工程师";"深圳市易流科技股份有限公司";"1.5-2.5万/月";"67"
951;"数据抓取工程师";"东华软件股份公司";"0.8-1.6万/月";"45"
952;"Python开发工程师";"上海易宝软件有限公司深圳分公司";" ";"80"
953;"Python开发工程师";"杭州世平信息科技有限公司";"7-9千/月";"139"
954;"Python Web开发工程师";"西安云雀软件有限公司";"0.5-1.4万/月";"26"
955;"Python开发实习生（西安）";"绿盟科技";"130元/天";"66"
956;"Java高级开发工程师--汇丰业务线";"中软国际科技服务有限公司";"1.3-1.8万/月";"32"
957;"python后台开发工程师";"西安智推网络科技有限公司";"0.8-1.5万/月";"56"
958;"高级Web全栈工程师";"西安奥卡云数据科技有限公司";"2-2.5万/月";"12"
959;"Python开发工程师";"西安逆袭网络科技有限公司";" ";"34"
960;"Python开发工程师";"北京华九德企业管理有限公司";" ";"73"
961;"安全开发工程师(西安）-西北服务交付部";"绿盟科技";" ";"21"
962;"python开发";"中软国际科技服务有限公司";"0.8-1.5万/月";"82"
963;"Python高级研发工程师";"西安智推网络科技有限公司";"1-1.5万/月";"54"
964;"Python开发工程师";"西安市城市规划信息中心";"4-6千/月";"88"
965;"高级软件测试工程师（西安）";"杭州数云信息技术有限公司";"1-1.5万/月";"175"
966;"python开发工程师（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"146"
967;"高级Web全栈工程师（硅谷技术）";"西安咏圣达电子科技有限公司";"1-1.5万/月";"24"
968;"中级web全栈工程师";"西安奥卡云数据科技有限公司";"1.5-2万/月";"14"
969;"Python 导师";"传智播客教育集团西安分校";"1-1.5万/月";"25"
970;"云计算Python开发工程师";"上海思华科技股份有限公司";"0.8-1.2万/月";"82"
971;"Python开发工程师";"北京华软金科信息技术有限公司";"1-1.5万/月";"85"
972;"python资深开发工程师";"陕西速橘丰信息科技有限公司";"1-1.5万/月";"72"
973;"Python开发工程师";"上海云首信息科技有限公司";"1.5-2万/月";"78"
974;"Java开发工程师";"西安图道信息科技有限公司";"6-8千/月";"425"
975;"Python开发工程师";"西安优逸客网络科技有限公司";"0.6-1万/月";"137"
976;"网络爬虫";"西安雅卓电子智能科技有限公司";"4.5-6千/月";"15"
977;"Python开发工程师";"西安博文同创信息技术有限公司";"4.5-6千/月";"98"
978;"Python开发工程师";"西安唐远信息科技有限公司";"0.5-1万/月";"104"
979;"Python开发工程师";"西安道恩网络科技有限公司";"7-9千/月";"135"
980;"java+人工智能实习生（接受0基础）";"陕西养正文化发展有限公司";"6-8千/月";"82"
981;"自动化运维工程师";"西安诺瓦电子科技有限公司";"6-9千/月";"43"
982;"平台运维工程师";"西安因联信息科技有限公司";"0.7-1.2万/月";"33"
983;"软件测试助理工程师（西安）";"深圳市有方科技股份有限公司";"6-8千/月";"261"
984;"openstack开发运维工程师";"西安盈谷网络科技有限公司";"0.6-1.2万/月";"28"
985;"网络开发工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"21"
986;"测试工程师";"北京天源迪科信息技术有限公司";"0.6-1万/月";"265"
987;"系统运维工程师";"西安葡萄城信息技术有限公司";"0.7-1.2万/月";"103"
988;"软件测试工程师";"陕西九鼎通信技术有限公司";"0.6-1万/月";"365"
989;"测试工程师";"中寰卫星导航通信有限公司";"0.6-1.2万/月";"240"
990;"Java开发工程师";"深圳市讯方技术股份有限公司";"0.7-1.5万/月";"262"
991;"嵌入式中级开发工程师";"深圳市德卡科技股份有限公司";"6-8千/月";"27"
992;"PHP开发工程师";"西安雅森研学教育科技有限公司";"0.6-1.2万/月";"23"
993;"自动化测试工程师";"上海数果科技有限公司";"0.6-1.2万/月";"121"
994;"教师（计算机方向）";"西安欧亚学院";"6-8千/月";"40"
995;"软件测试工程师（超声）";"深圳市理邦精密仪器股份有限公司";"7.5-9千/月";"314"
996;"系统测试工程师";"陕西美农网络科技有限公司";"6-8千/月";"60"
997;"Java开发工程师";"西安数之元网络科技有限公司";"0.6-1.5万/月";"164"
998;"System test engineer软件测试工程师";"KaiOS凯系通讯科技";"6-9千/月";"386"
999;"Openstack运维实施工程师";"上海思华科技股份有限公司";"0.6-1万/月";"35"
1000;"Java开发工程师";"西安橡树软件有限公司";"6-8千/月";"249"
1001;"全栈工程师";"三门峡崤云安全服务有限公司";"6-8千/月";"25"
1002;"Firmware Engineer";"苏州联讯仪器有限公司";"0.6-1万/月";"18"
1003;"WEB前端开发工程师";"西安圣点世纪科技有限公司";"0.7-1.4万/月";"115"
1004;"软件测试工程师";"虎丘影像（苏州）有限公司";"6-8千/月";"203"
1005;"软件设计工程师";"西安智多晶微电子有限公司";"0.7-1.5万/月";"19"
1006;"云方向业务部门_大数据工程师";"北京思特奇信息技术股份有限公司陕西分公司";"0.6-1万/月";"30"
1007;"自动化测试工程师（20名）";"三星数据系统（西安）有限公司";"6-9千/月";"220"
1008;"算法工程师";"西安浪盟网络科技有限公司";"0.6-1.2万/月";"40"
1009;"大数据开发工程师";"上海米赋网络科技有限公司";"0.6-1.2万/月";"37"
1010;"JAVA开发工程师";"西安海润通信技术有限公司";"0.7-1.4万/月";"243"
1011;"高级测试工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"6-8千/月";"125"
1012;"软件测试工程师";"西安悦泰科技有限责任公司";"6-8千/月";"396"
1013;"IT运维工程师";"百胜餐饮（西安）有限公司";"6-8千/月";"149"
1014;"IT培训讲师（Linux）";"北京中公教育科技股份有限公司";"0.6-1.2万/月";"10"
1015;"系统测试工程师";"西安中科创星科技孵化器有限公司";"0.6-1万/月";"76"
1016;"Javascript讲师";"上海傲梦网络科技有限公司";"6-8千/月";"41"
1017;"深度学习工程师";"中国科学院自动化研究所（洛阳）机器人与智能装备创新研究院";"0.7-1.5万/月";"23"
1018;"Java开发工程师";"厦门唐普信息技术有限公司";"0.6-2.5万/月";"324"
1019;"软件测试工程师（中级）";"西安图迹信息科技有限公司";"6-8千/月";"425"
1020;"Web开发工程师（派遣）-西安";"大唐移动通信设备有限公司西安分公司";"0.7-1万/月";"72"
1021;"C++中级软件工程师";"西安魔盾电气工程自动化研究所有限公司";"0.6-1万/月";"35"
1022;"Python/Golang高级开发工程师";"陕西巨子生物技术有限公司";"0.6-1.2万/月";"67"
1023;"Python软件工程师";"北京优诺信创科技有限公司";"0.6-1万/月";"53"
1024;"中级Python开发工程师";"江苏润和软件股份有限公司";"0.7-1.3万/月";"85"
1025;"Python高级开发工程师";"陕西维纳传媒股份有限公司";"0.6-1.2万/月";"101"
1026;"Python开发工程师";"陕西晟运通科技有限公司";"0.6-1.5万/月";"145"
1027;"Python开发工程师";"西安云雀软件有限公司";"0.5-1.4万/月";"70"
1028;"开发工程师（python方向）";"北京华软金科信息技术有限公司";"0.8-1万/月";"61"
1029;"Python就业指导专员(J10786)双休、六险一金";"传智播客教育集团西安分校";"8-9千/月";"20"
1030;"python讲师";"西安飞凡网络技术咨询有限公司";" ";"42"
1031;"Python开发工程师";"西安华众电子科技股份有限公司";"0.5-1.5万/月";"100"
1032;"网络推广专员";"西安凯联电子科技有限公司";"6-8千/月";"15"
1033;"高级开发工程师";"陕西同纳信息技术有限公司";"1.5-3万/月";"37"
1034;"python讲师/培训师+高薪+六险一金";"西安云间信息科技有限公司";"1-1.5万/月";"37"
1035;"python讲师/培训师+高薪+六险一金";"陕西巨人商务信息咨询有限公司";"1-1.5万/月";"36"
1036;"Java高级开发工程师（西安）";"北京中海华晟信息技术有限公司西安分公司";"1-1.5万/月";"88"
1037;"大数据研发工程师/架构师";"北京空间畅想信息技术有限责任公司";"1-2万/月";"28"
1038;"数据分析师";"西安图迹信息科技有限公司";"0.8-1万/月";"52"
1039;"数据开发工程师（SME）";"陕西西部资信股份有限公司";"1-1.5万/月";"46"
1040;"大数据开发工程师";"西安易流物联科技有限公司";"1-2万/月";"32"
1041;"人工智能讲师";"西安软件服务外包学院";"0.8-1万/月";"15"
1042;"python讲师+六险一金";"西安中软卓越信息技术有限公司";"0.8-1万/月";"70"
1043;"IT培训讲师（JAVA）";"北京中公教育科技股份有限公司";"1-1.5万/月";"36"
1044;"Python开发工程师助理/实习";"陕西速橘丰信息科技有限公司";"4.5-6千/月";"153"
1045;"seo专员";"西安动力无限信息科技股份有限公司";"4.5-6千/月";"9"
1046;"Java开发爬虫工程师";"西安亿商汇聚信息技术有限公司";" ";"30"
1047;"Python研发工程师 爬虫";"西安智推网络科技有限公司";"0.8-1.6万/月";"66"
1048;"爬虫开发工程师";"西安图道信息科技有限公司";"6-8千/月";"77"
1049;"结算管理人员";"丝绸之路金服科技有限公司";"0.4-2万/月";"22"
1050;"数据抓取工程师";"东华软件股份公司";"0.8-1.6万/月";"45"
1051;"Python开发工程师";"杭州世平信息科技有限公司";"7-9千/月";"139"
1052;"Java开发工程师";"西安图道信息科技有限公司";"6-8千/月";"425"
1053;"Python爬虫工程师";"红上至信商务信息咨询（上海）有限公司";" ";"45"
1054;"Python爬虫工程师";"红上至信商务信息咨询（上海）有限公司";" ";"55"
1055;"JAVA开发 爬虫工程师";"西安极数宝数据服务有限公司";"3-8千/月";"114"
1056;"Python讲师";"陕西云谷教育科技有限公司";" ";"35"
1057;"Python开发工程师";"西安优逸客网络科技有限公司";"0.6-1万/月";"137"
1058;"算法工程师";"西安银信博锐信息科技有限公司";"4.5-6千/月";"12"
1059;"Python开发工程师";"西安博文同创信息技术有限公司";"4.5-6千/月";"98"
1060;"Python开发";"西安图迹信息科技有限公司";"6-8千/月";"73"
1061;"python资深开发工程师";"陕西速橘丰信息科技有限公司";"1-1.5万/月";"72"
1062;"Python开发工程师";"西安市城市规划信息中心";"4-6千/月";"88"
1063;"大数据开发工程师";"深圳市易流科技股份有限公司";"1.5-2.5万/月";"67"
1064;"Python 导师";"传智播客教育集团西安分校";"1-1.5万/月";"25"
1065;"网络优化、seo推广";"西安万家灯火信息技术有限公司";"6-8千/月";"22"
1066;"JAVA爬虫工程师";"红上至信商务信息咨询（上海）有限公司";" ";"18"
1067;"网络爬虫";"西安雅卓电子智能科技有限公司";"4.5-6千/月";"15"
1068;"初级JAVA 爬虫工程师";"西安极数宝数据服务有限公司";"3-7千/月";"174"
1069;"Python开发工程师";"中软国际科技服务有限公司";"0.8-1万/月";"62"
1070;"python开发";"中软国际科技服务有限公司";"0.8-1.5万/月";"82"
1071;"Python开发工程师";"西安道恩网络科技有限公司";"7-9千/月";"135"
1072;"爬虫开发工程师";"陕西运璟网络科技有限公司";"1-1.5万/月";"54"
1073;"爬虫开发工程师";"陕西运璟网络科技有限公司";"1-1.5万/月";"54"
1074;"Python研发工程师 爬虫";"西安智推网络科技有限公司";"0.8-1.6万/月";"66"
1075;"爬虫开发工程师";"西安图道信息科技有限公司";"6-8千/月";"77"
1076;"爬虫工程师";"西安澳鹏网络科技有限公司";"1-1.5万/月";"30"
1077;"数据抓取工程师";"东华软件股份公司";"0.8-1.6万/月";"45"
1078;"爬虫开发工程师";"陕西运璟网络科技有限公司";"1-1.5万/月";"54"
1079;"Python开发";"西安图迹信息科技有限公司";"6-8千/月";"73"
1080;"人工智能大数据工程师";"西安达文信息技术有限公司";"4-6千/月";"8"
1081;"软件工程师";"西安朗晟电子科技有限公司";" ";"4"
1082;"C++开发工程师";"西安朗晟电子科技有限公司";" ";"4"
1083;"高薪诚聘淘宝店铺运营高提点待遇好";"西安淘达网络科技有限公司";" ";"7"
1084;"电商运营、网店运营（急聘、高提点）";"西安淘达网络科技有限公司";" ";"8"
1085;"淘宝店铺运营（急聘、综合工资4000+）";"西安淘达网络科技有限公司";" ";"7"
1086;"3000+急聘淘宝店铺运营专员/高提点提成/不加班";"西安淘达网络科技有限公司";" ";"7"
1087;"淘宝运营（急聘）应届毕业生亦可";"西安淘达网络科技有限公司";" ";"7"
1088;"4k急招淘宝运营（高提点、应届毕业生亦可)";"西安淘达网络科技有限公司";" ";"7"
1089;"电子商务运营专员（无责底薪+高提点）";"西安淘达网络科技有限公司";" ";"7"
1090;"电商运营专员（无责底薪+好提点）6k+";"西安淘达网络科技有限公司";" ";"8"
1091;"急聘天猫淘宝店铺运营高提点/福利好";"西安淘达网络科技有限公司";" ";"7"
1092;"3000急聘淘宝店铺运营高提点无加班";"西安淘达网络科技有限公司";" ";"7"
1093;"软件工程师";"西安仙峒科技有限责任公司";"0.8-1万/月";"15"
1094;"区块链系统构架师";"西安三体网络科技有限公司";" ";"5"
1095;"物联网开发工程师";"西安三体网络科技有限公司";" ";"12"
1096;"电子工程师";"西安仙峒科技有限责任公司";"6-8千/月";"44"
1097;"外业外业测量    实习生  （西安）";"上海爵特信息科技有限公司";" ";"2"
1098;"测量作业员";"陕西汇图测绘地理信息有限公司";"2.5-6千/月";"5"
1099;"雷达数据解释人员";"中煤航测遥感集团有限公司";" ";"9"
1100;"LabVIEW软件工程师";"陕西特恩电子科技有限公司";"0.6-1万/月";"18"
1101;"测绘/测量";"西安新恒屹建筑工程有限公司";"0.5-1万/月";"90"
1102;"测绘工程师";"西安新恒屹建筑工程有限公司";"3-6千/月";"24"
1103;"互联网金融高级风控经理";"神州数码系统集成服务有限公司西安分公司";"1.5-2万/月";"42"
1104;"互联网金融风控经理";"神州数码系统集成服务有限公司西安分公司";"1-1.5万/月";"77"
1105;"大客户业务代表（工业自动化事业群）";"研华（中国）有限公司";"6-8千/月";"47"
