"id";"jobs";"firms";"salary";"nums"
548;"嵌入式系统工程师（高级）";"西安中科创星科技孵化器有限公司";"1.5-2.5万/月";"21"
549;"云平台技术支持工程师";"研华（中国）有限公司";"6-8千/月";"58"
550;"软件工程师（通信传输设备）";"烽火通信科技股份有限公司";"15-23万/年";"46"
551;"测试工程师";"红上至信商务信息咨询（上海）有限公司";" ";"35"
552;"自动化测试工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"6-8千/月";"43"
553;"测试工程师";"销售易";"1-1.5万/月";"185"
554;"软件测试工程师(前端类A)";"浙江宇视科技有限公司";"0.6-1万/月";"182"
555;"软件测试工程师(通用IPC)";"浙江宇视科技有限公司";"0.8-1万/月";"165"
556;"软件测试工程师(海外与分销)";"浙江宇视科技有限公司";"0.6-1.2万/月";"87"
557;"自动化开发与测试(测试中心)";"浙江宇视科技有限公司";"0.5-1万/月";"36"
558;"软件测试工程师(测试中心)";"浙江宇视科技有限公司";"0.6-1.2万/月";"89"
559;"软件测试工程师(智能交通)";"浙江宇视科技有限公司";"0.5-1.2万/月";"105"
560;"软件测试工程师(算法类)";"浙江宇视科技有限公司";"0.6-1万/月";"107"
561;"前端开发";"西安逆袭网络科技有限公司";" ";"14"
562;"软件工程师-Java开发HXY";"北京四维图新科技股份有限公司";" ";"74"
563;"Java开发工程师";"西安琥珀软件有限责任公司";" ";"37"
564;"软硬件系统工程师";"上海兆芯集成电路有限公司";" ";"11"
565;"系统运维工程师";"北京神州商通网络科技有限公司";"0.5-1万/月";"50"
566;"系统运维工程师";"上海泰然投资控股有限公司";"1-2万/月";"72"
567;"中级运维工程师";"陕西丝绸之路收藏品交易中心股份有限公司";"3-8千/月";"39"
568;"DevOps开发运维工程师";"西安华信智慧数字科技有限公司";"1-1.5万/月";"32"
569;"DevOps-软件运维岗";"陕西长银消费金融有限公司";" ";"14"
570;"嵌入式软件工程师";"西安慧晶智能科技有限公司";"0.6-1.5万/月";"33"
571;"软件实施工程师";"西安国际医学中心有限公司";"3-6千/月";"59"
572;"高级运维开发工程师 -Sr DevOps";"Thoughtworks";"1.3-2.6万/月";"23"
573;"运维工程师";"陕旅集团骏途旅游网";"0.4-1万/月";"61"
574;"2019校园招聘-项目支持工程师";"深圳市茁壮网络股份有限公司";"8-10万/年";"25"
575;"渲染师";"西咸新区秦汉新城新丝路数字文化科技有限公司";"4-7千/月";"14"
576;"Java开发工程师";"陕西智诚合创科技股份有限公司";"4-6千/月";"114"
577;"组件验证工程师";"矽昆微电子（上海）有限公司";"0.8-1.5万/月";"42"
578;"JAVA开发工程师-西安";"北京华晨阳通信技术有限责任公司";"4-8千/月";"249"
579;"高级算法工程师（硅谷技术）";"西安咏圣达电子科技有限公司";"1-1.5万/月";"28"
580;"运维工程师";"西安九索数据技术股份有限公司";"0.5-1万/月";"54"
