id,jobs,firms,salary,nums0
386,三维图形算法工程师,上海数巧信息科技有限公司,0.8-1.5万/月,若干
390,自动控制工程师,陕西博尔能源科技有限公司,4.5-6千/月,若干
391,软件开发,西安石核信息科技有限公司,3-6千/月,若干
399,软件开发工程师,成都成电光信科技股份有限公司,0.5-1万/月,若干
412,软件工程师,西安斯维特测量设备股份有限公司,0.5-1万/月,若干
416,Unity3d游戏开发工程师,苏州天魂网络科技股份有限公司,0.6-1.2万/月,若干
422,2018信息-系统开发助理（西安工作/2018应届）,中国东方航空股份有限公司,4.5-6千/月,若干
432,生产软件工程师,西安闻泰电子科技有限公司,1-1.5万/月,若干
441,软件工程师,隆基绿能科技股份有限公司,0.8-1万/月,若干
452,嵌入式软件工程师,北京格非视频科技发展有限公司,6-8千/月,若干
455,Software Engineer in Xian,深圳市中科卓软科技有限公司,50-60万/年,若干
465,生物信息分析专员(职位编号：0013),陕西云上生物医药科技有限公司,1-1.5万/月,若干
476,项目经理,恩梯梯数据（中国）信息技术有限公司西安分公司,1-1.5万/月,若干
477,嵌入式软件开发,西安锐益达风电技术有限公司,1-1.5万/月,若干
512,LinuxC/C++软件工程师,西安西电捷通无线网络通信股份有限公司,5-8千/月,若干
515,C++软件开发工程师(海外与分销)(职位编号：uniview000963),浙江宇视科技有限公司,0.7-1.2万/月,若干
519,C++软件开发工程师(职位编号：netposa001889),东方网力科技股份有限公司,1-1.5万/月,若干
523,C++研发工程师（西安）(J10697),绿盟科技,0.8-1万/月,若干
524,C/C++工程师,上海思华科技股份有限公司,1-2万/月,若干
527,C++开发工程师,浙江大华技术股份有限公司,1-2万/月,若干
528,C++工程师,西安优音通信有限公司,1-1.5万/月,若干
529,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
530,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
531,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
