"id";"jobs";"firms";"salary";"nums0"
821;"急聘文案编辑周末双休";"陕西处商网络科技有限公司";"4.5-6千/月";"1"
822;"高级存储工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"1"
823;"初级机房监控工程师";"三门峡崤云信息服务股份有限公司";"3-6千/月";"2"
824;"IDC机房监控";"西安未来国际信息股份有限公司";"4-5千/月";"1"
825;"数据开发工程师";"西安亚购信息科技有限公司";"1-2万/月";"若干"
826;"IT技术支持";"西安亚购信息科技有限公司";"3-5千/月";"若干"
827;"ERP实施顾问/实施顾问/实施工程师/项目实施";"明源软件西安公司";"0.5-1万/月";"3"
828;"高级Web前端工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"1"
829;"日志安全分析师";"三门峡崤云信息服务股份有限公司";"0.5-1万/月";"1"
830;"中级Java工程师";"三门峡崤云信息服务股份有限公司";"4-8千/月";"1"
831;"Web软件测试工程师（中级）";"三门峡崤云信息服务股份有限公司";"4-8千/月";"1"
832;"安全技术支持工程师";"三门峡崤云安全服务有限公司";"6-8千/月";"6"
833;"DBA";"三门峡崤云安全服务有限公司";"6-8千/月";"1"
834;"中级Web前端工程师";"三门峡崤云信息服务股份有限公司";"4-8千/月";"4"
835;"初级Java工程师";"三门峡崤云信息服务股份有限公司";"3-6千/月";"4"
836;"高级Java工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"若干"
837;"Web软件测试工程师（高级）";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"1"
838;"手机软件测试工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"2"
839;"手机软件测试工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"1"
840;"日志安全分析师";"三门峡崤云安全服务有限公司";"0.5-1万/月";"1"
841;"高级渗透测试工程师";"三门峡崤云安全服务有限公司";"0.6-1万/月";"2"
842;"云平台安全服务工程师";"三门峡崤云安全服务有限公司";"0.5-1万/月";"1"
843;"售后技术支持";"北京万户网络技术有限公司";"4-6千/月";"1"
844;"服务器与虚拟化管理工程师(J10085)";"西安诺瓦电子科技有限公司";"0.8-1万/月";"1"
845;"系统集成工程师";"北京明朝万达科技股份有限公司";"4-6千/月";"2"
846;"Java初级开发工程师";"北京明朝万达科技股份有限公司";"4-6千/月";"若干"
847;"Java开发工程师";"北京明朝万达科技股份有限公司";"0.7-1.4万/月";"3"
848;"实施工程师";"北京明朝万达科技股份有限公司";"4.5-6千/月";"若干"
849;"云后端开发工程师";"西安奥卡云数据科技有限公司";"1.5-2万/月";"5"
850;"云计算产品经理";"西安奥卡云数据科技有限公司";"2-2.5万/月";"5"
851;"云计算产品经理";"西安奥卡云数据科技有限公司";"1.5-2万/月";"5"
852;"存储产品经理";"西安奥卡云数据科技有限公司";"2-2.5万/月";"5"
853;"值班电工（西安华为基地）";"爱玛客服务产业（中国）有限公司郑州分公司";"3-4.5千/月";"4"
854;"Web开发工程师";"西安远古信息科技股份有限公司";"0.8-1.5万/月";"1"
855;"信息化业务主管";"陕西恒通果汁集团股份有限公司";"4.5-6千/月";"若干"
856;"信息化高级业务主管";"陕西恒通果汁集团股份有限公司";"5.1-6.4千/月";"若干"
857;"服务器工程师";"华天慧创科技（西安）有限公司";"5-8千/月";"1"
858;"店铺运营";"陕西省君凯电子科技有限公司";"4-8千/月";"2"
859;"信息维护专管员";"陕西郑远元专业修脚保健服务集团有限公司";"4.5-6千/月";"1"
860;"网络工程师";"安徽阳光信通电子科技有限公司西安分公司";"3.5-6.5千/月";"1"
861;"数据库工程师/管理员";"西安卓睿信息技术有限公司";"4.5-6千/月";"6"
862;"网络和信息安全工程师/助理/实习生  双休";"西安卓睿信息技术有限公司";"6-8千/月";"6"
863;"系统集成工程师";"西安卓睿信息技术有限公司";"4.5-6千/月";"6"
864;"数据库工程师/管理员实习";"西安卓睿信息技术有限公司";"4.5-6千/月";"6"
