"id";"jobs";"salary";"firms";"location";"nums"
891;"高薪 15薪 日文/日语英语BPO";"4.5-7千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"3"
892;"晋升快 15薪 日语/日文BPO";"3.5-6千/月";"方正宽带网络服务有限公司大连分公司";"大连";"3"
893;"15薪 高薪日语bpo 了解html优先";"3.5-6千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"3"
894;"高薪 日语一级英语六级BPO 八险一金";"4.5-7千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"3"
895;"15薪 双休 日语英语BPO 八险一金";"4.5-7千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"4"
896;"15薪 八险一金 日语/日文一级 人事专员";"4.5-7千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"4"
897;"高薪 日语/日文bpo 六险一金";"3.5-5.5千/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"5"
898;"13到15薪 日语/日文人事bpo 六险一金";"3.5-5.5千/月";"方正宽带网络服务有限公司大连分公司";"大连";"6"
899;"15薪 SAP项目Leader 高级经理";"1-1.5万/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"若干"
900;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"沈阳-铁西区";"5"
901;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"深圳-福田区";"5"
902;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"上海-黄浦区";"5"
903;"日语机械/电气设计人才";"0.8-1万/月";"辽宁语嫣商务信息咨询有限公司";"西安-西咸新区";"3"
904;"急招日语理工科储备干部（新工厂）";"4.5-6千/月";"辽宁语嫣商务信息咨询有限公司";"合肥-经开区";"2"
905;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"长春-朝阳区";"5"
906;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"哈尔滨-道里区";"5"
907;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"大连-中山区";"5"
908;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"青岛-城阳区";"5"
909;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"宁波-余姚市";"5"
910;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"苏州-工业园区";"15"
911;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"成都-锦江区";"5"
912;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"杭州-余杭区";"5"
913;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"西安-新城区";"5"
914;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"武汉-江汉区";"5"
915;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"南京-建邺区";"5"
916;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"重庆-江北区";"5"
917;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"天津-和平区";"5"
918;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"广州-白云区";"5"
919;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"北京-朝阳区";"5"
920;"日语/日本/翻译/电器店/婚宴/温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"杭州-余杭区";"5"
921;"日语/日本/翻译/电器店/婚宴/温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"南京-建邺区";"5"
922;"日语/日本/翻译/电器店/婚宴/温泉酒店";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"哈尔滨-道里区";"5"
923;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"西安-新城区";"5"
924;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"武汉-江汉区";"5"
925;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"天津-和平区";"5"
926;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"青岛-城阳区";"5"
927;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"济南-历城区";"5"
928;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"长春-朝阳区";"5"
929;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"哈尔滨-道里区";"5"
930;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"大连-中山区";"5"
931;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"沈阳-铁西区";"5"
932;"日语工科设计/售后人才";"1.5-2万/月";"辽宁语嫣商务信息咨询有限公司";"合肥";"5"
933;"日语机械设计/电气人才";"1.5-2万/月";"辽宁语嫣商务信息咨询有限公司";"深圳-光明新区";"5"
934;"15薪/SAP项目Leader/高级经理";"1-1.5万/月";"大连阿甘科技有限公司";"大连";"2"
935;"15薪/高级对日开发项目担当/六险一金";"1-1.5万/月";"大连阿甘科技有限公司";"大连";"2"
936;"高薪日本留过学人员（有日语人事bpo经验）";"4.5-7千/月";"大连阿甘科技有限公司";"大连-高新园区";"2"
937;"15薪/高薪日语bpo/了解html优先";"3.5-6千/月";"大连阿甘科技有限公司";"大连-高新园区";"3"
938;"高薪/15薪/日语/日文/英语BPO";"4.5-7千/月";"大连阿甘科技有限公司";"大连";"3"
939;"15薪/双休/日语英语BPO/八险一金";"4.5-7.5千/月";"大连阿甘科技有限公司";"大连-高新园区";"3"
940;"晋升快/15薪日语/日文BPO";"3.5-6千/月";"大连阿甘科技有限公司";"大连-高新园区";"3"
941;"15薪/高薪日语/日文一级/技术支持";"4.5-7.5千/月";"大连阿甘科技有限公司";"大连";"4"
942;"对日软件工程师";"1.5-2万/月";"上海强辰信息技术有限公司";"上海";"若干"
943;"对日软件工程师";"0.6-1万/月";"上海强辰信息技术有限公司";"武汉-洪山区";"10"
944;"对日软件工程师";"1-2万/月";"上海强辰信息技术有限公司";"上海-杨浦区";"10"
945;"软件工程师";"0.4-1万/月";"上海强辰信息技术有限公司";"武汉-洪山区";"若干"
946;"人力资源主管";"0.5-1万/月";"富士软件科技（山东）有限公司杭州分公司";"杭州-滨江区";"2"
947;"2019年软件开发实习生";"2-4千/月";"富士软件科技（山东）有限公司杭州分公司";"杭州-滨江区";"10"
