,jobs,firms,salary,nums0
,开发五部工程师,西安凌安电脑有限公司,4.5-6千/月,若干
,赴日RPG软件开发工程师,大连协泰科技有限公司,4.5-6千/月,若干
,赴日软件工程师,江苏明月软件技术有限公司无锡分公司,4.5-6千/月,若干
,日语财务BPO,大连东康信息服务有限公司,4.5-6千/月,若干
,IT日语助理,永旺（中国）投资有限公司,4.5-6千/月,若干
,烘焙工作室运营员工,河南引尚资商贸有限公司,4.5-6千/月,若干
,日语教师,大连通远对外劳务合作有限公司,4.5-6千/月,若干
,新媒体运营助理,上海长宁区明日进修学校,4.5-6千/月,若干
,售前售后工程师,纪州喷码技术（上海）有限公司,4.5-6千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4.5-6千/月,若干
,日语人事BPO,大连东康信息服务有限公司,4.5-6千/月,若干
,烘焙讲师（有无经验均可）,河南引尚资商贸有限公司,4.5-6千/月,若干
,西餐服务员（工联大厦）,无印良品（上海）商业有限公司,4.5-6千/月,若干
,西餐厅服务员（东方福莱德）,无印良品（上海）商业有限公司,4.5-6千/月,若干
,JAVA/BV/C开发工程师-大连软件园,大连瑞林咨询有限公司,4.5-6千/月,若干
,对日软件工程师,济南讯和信息技术有限公司,4.5-6千/月,若干
,无印良品餐厅服务员,无印良品（上海）商业有限公司,4.5-6千/月,若干
,无印良品门店营业员,无印良品（上海）商业有限公司,4.5-6千/月,若干
,导购员（年底十三薪）,无印良品（上海）商业有限公司,4.5-6千/月,若干
,无印良品门店营业员（就近分配）,无印良品（上海）商业有限公司,4.5-6千/月,若干
,C++开发工程师,创盛信息技术（湖北）有限公司,4.5-6.5千/月,若干
,Java Web开发实习生(职位编号：B003),大连馨天地科技有限公司,4-4.5千/月,若干
,储备店长,泉盛餐饮（上海）有限公司,4.1-5千/月,若干
,HOT日式养老机构储备干部-日本技能实习,日医（北京）商贸有限公司,3-9千/月,若干
,对日开发软件工程师_BSE、SSE、PM、PL,沈阳思优科信息技术有限公司,3-8千/月,若干
,软件编程人员,海南纽康信息系统有限公司,3-8千/月,若干
,对日开发软件工程师_BSE、SSE、PM、PL,沈阳思优科信息技术有限公司,3-8千/月,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,日本研修女工项目,辽宁欧美亚经济技术合作有限公司,370元/天,若干
,php程序员开发软件高级工程师赴日本长期出差,伙伴（大连）信息技术有限公司,3-6万/月,若干
,数字电路设计高级软件开发工程师赴日本长期出差,伙伴（大连）信息技术有限公司,3-6万/月,若干
,android安卓开发软件高级工程师日本长期出差,伙伴（大连）信息技术有限公司,3-6万/月,若干
,软件测试高级工程师日本长期出差,伙伴（大连）信息技术有限公司,3-6万/月,若干
,模拟数字电路设计高级工程师（日本长期出差）,伙伴（大连）信息技术有限公司,3-6万/月,若干
,2019届毕业生(职位编号：8),埃姆特科技（大连）有限公司,3-6千/月,若干
,日语文书翻译,大连拓中教育科技股份有限公司,3-6千/月,若干
,赴日计算机软件开发高级工程师（长期出差）,伙伴（大连）信息技术有限公司,3-5万/月,若干
,赴日计算机软件开发高级工程师（长期出差）,伙伴（大连）信息技术有限公司,3-5万/月,若干
,初级Java开发软件工程师(职位编号：haso10102604),常州发创软件有限公司,3-5千/月,若干
,日语教师,大连信业达职业培训学校,3-5千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,3.5-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,3.5-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,3.5-6千/月,若干
,2018届应届毕业生招聘,恩梯梯数据（中国）信息技术有限公司长春分公司,3.5-5千/月,若干
,电话销售,浙江春芽科技有限公司,3.5-5千/月,若干
,日语教师,大连信业达职业培训学校,3.5-5千/月,若干
,日式养老机构储备人才（护理/介护）,日医（北京）商贸有限公司,3.5-5千/月,若干
,自动化开发,大连阿尔派电子有限公司,3.5-5.5千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,3.5-5.5千/月,若干
,JAVA经验丰富 + 日语   30K(职位编号：JC180209),上海恒封密封制品有限公司,3-4万/月,若干
,软件开发培训、实习生,南京联迪信息系统股份有限公司,3-4.5千/月,若干
,软件工程师（可提供实习）(职位编号：ncsunzone2014001),南昌三众软件有限公司,3-4.5千/月,若干
,助理软件工程师实习生,济南华信计算机技术有限公司,3-4.5千/月,若干
,2019应届生―软件开发工程师,京瓷信息系统（上海）有限公司,3-4.5千/月,若干
,对日java软件工程师(初级),优联泰克科技发展（大连）有限公司,3-4.5千/月,若干
,对日开发工程（日语必须）,上海敏杰软件有限公司,3-4.5千/月,若干
,Java开发工程师,南通苏慧信息技术有限公司,3-4.5千/月,若干
,软件实习生Java,大连慧桥云联科技有限公司,3-4.5千/月,若干
,日语储备干部/培训生/实习生,杭州冈山信息科技有限公司,3-4.5千/月,若干
,软件开发 实习生,贝纳德科技（大连）有限公司,3-4.5千/月,若干
,2019届对日软件开发实习生,无锡智明创发软件有限公司,3-4.5千/月,若干
,实习生,北京日立北工大信息系统有限公司,3-4.5千/月,若干
,软件开发工程师,大连瑞林咨询有限公司,3-4.5千/月,若干
,web开发（HTML）-大连高新园区,大连瑞林咨询有限公司,3-4.5千/月,若干
,软件工程师―（对日）2019届,宏智科技（苏州）股份有限公司,3-4.5千/月,若干
,2019届对日软件开发实习生,无锡智明创发软件有限公司,3-4.5千/月,若干
,日语老师,吉林海天国际劳务合作有限公司,3-4.5千/月,若干
,营业员,大连金淘人力资源有限公司,3-4.5千/月,若干
,2019应届生―软件开发工程师,京瓷信息系统（上海）有限公司,3-4.5千/月,若干
,青岛华钟制药有限公司,青岛华钟制药有限公司,3-4.5千/月,若干
,料理授课讲师（有无经验均可）,河南引尚资商贸有限公司,3-4.5千/月,若干
,高级BPO流程专员,大连东康信息服务有限公司,3-4.5千/月,若干
,诚聘  计算机相关专业实习生,天津创方多维信息技术有限公司,3-4.5千/月,若干
,日本医疗网-销售,大连悠游国际医疗健康管理有限公司,3-4.5千/月,若干
,WEB系统测试初级工程师,英赛（大连）信息技术有限公司,2-5千/月,若干
,美容师,深圳市唯姿贸易有限公司,2.5-8千/月,若干
,赴日软件开发工程师,大连佰思特信息技术有限公司,25-70万/月,若干
,赴日软件开发工程师,大连佰思特信息技术有限公司,25-70万/月,若干
,软件测试人员,南通易阳科技有限公司,2.5-5千/月,若干
,软件测试人员,南通易阳科技有限公司,2.5-5千/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,赴日java，net，php，sql软件工程师（出差）大连,多奥科技（大连）有限公司,2.5-3万/月,若干
,JAVA软件开发及管理（会日语）月35万(职位编号：JC180209),上海恒封密封制品有限公司,2.5-3万/月,若干
,JAVA项目开发管理（会日语）月薪3万(职位编号：JC180209),上海恒封密封制品有限公司,2.5-3万/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,JAVA对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,软件工程师,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言 对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言 对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言 对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言 对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,C语言，C++对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
,赴日java，net，php，sql软件工程师（出差）大连,多奥科技（大连）有限公司,2.5-3万/月,若干
,高级软件工程师（日本长期出差）(职位编号：DSL001),大连赛羚科技有限公司,2-4万/月,若干
,赴日JAVA软件工程师（长期赴日）,大连创盛科技有限公司,2-4万/月,若干
,赴日SAP软件工程师（长期赴日）,大连创盛科技有限公司,2-4万/月,若干
,软件工程师,北京中海创发科技有限公司,2-4万/月,若干
,赴日JAVA软件工程师（长期赴日）,大连创盛科技有限公司,2-4万/月,若干
,高级软件工程师（日本长期出差）(职位编号：DSL001),大连赛羚科技有限公司,2-4万/月,若干
,赴日机械设计制造高级工程师（长期出差）,伙伴（大连）信息技术有限公司,2-4万/月,若干
,赴日SAP软件工程师（长期赴日）,大连创盛科技有限公司,2-4万/月,若干
,服装快消工厂数据分析项目经理,上海未苗信息科技有限公司,2-3万/月,若干
,日语本地化游戏制作人,上海东方明珠迪尔希文化传媒有限公司,2-3万/月,若干
,Java开发实习生,大连丝路软件有限责任公司,2-3千/月,若干
,软件研发实习生,大连思玛特科技发展有限公司,2-3千/月,若干
,2019届软件开发实习生（非培训机构）(职位编号：xunhe-01),讯和创新科技（北京）有限公司,2-3千/月,若干
,实习生-程序员,成都仁本新动科技有限公司,2-3千/月,若干
,软件开发实习生招聘,大连嘉友软件技术有限公司,2-3千/月,若干
,2019届软件开发工程师（实习生-非培训机构）,讯和创新科技（北京）有限公司,2-3千/月,若干
,软件工程师（2019届毕业生）,大连思玛特科技发展有限公司,2-3千/月,若干
,客服专员,大连悠游国际医疗健康管理有限公司,2-3千/月,若干
,日语JAVA工程师-日本世界500强,领拓咨询,2-3.5万/月,若干
,JAVA对日项目经理,无锡智明创发软件有限公司,2-2.5万/月,若干
,前后端(JS/JAVA)开发  年薪～28万(职位编号：JC180831),上海恒封密封制品有限公司,2-2.5万/月,若干
,JAVA对日项目经理,上海智明创发软件有限公司,2-2.5万/月,若干
,软件工程师（赴日长期出差）,大连共兴达信息技术有限公司,2-2.5万/月,若干
,日本出差软件开发工程师,鑫沣科技（大连）有限公司,2-2.5万/月,若干
,赴日长期出差软件工程师（PG、SE）(职位编号：B001),大连馨天地科技有限公司,2-2.5万/月,若干
,赴日长期出差软件工程师（PG、SE）(职位编号：B001),大连馨天地科技有限公司,2-2.5万/月,若干
,高薪诚聘赴日出差软件工程师,大连鸿进科技有限公司,2-2.5万/月,若干
,软件工程师（赴日长期出差）,大连共兴达信息技术有限公司,2-2.5万/月,若干
,赴日长期出差软件工程师（PG、SE）(职位编号：B001),大连馨天地科技有限公司,2-2.5万/月,若干
,日本出差软件开发工程师,鑫沣科技（大连）有限公司,2-2.5万/月,若干
,高级运维工程师(编号104187),上海艾杰飞人力资源有限公司,1.6-2.2万/月,若干
,高级运维工程师(编号104187),上海艾杰飞人力资源有限公司,1.6-2.2万/月,若干
,市场云产品技术支持工程师-日语职位,甲骨文（中国）软件系统有限公司,1.5千以下/月,若干
,Java开发工程师,大连久乐科技有限公司,1.5-5万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,若干
